Image   Text Size   MSE  PSNR     SSIM
..//datasets//rgb//airplane512.tiff ..//datasets//text//lorem_60KB.txt 0.0488 61.24 dB 1.0000
..//datasets//rgb//peppers512.tiff ..//datasets//text//lorem_60KB.txt 0.0945 58.38 dB 1.0000
..//datasets//rgb//abstract1024.tiff ..//datasets//text//lorem_60KB.txt 0.0310 63.22 dB 1.0000
..//datasets//rgb//irish1024.tiff ..//datasets//text//lorem_60KB.txt 0.0295 63.43 dB 1.0000
..//datasets//rgb//nature1024.tiff ..//datasets//text//lorem_60KB.txt 0.0174 65.72 dB 1.0000
..//datasets//rgb//house256.tiff ..//datasets//text//lorem_70KB.txt 0.3229 53.04 dB 0.9999
..//datasets//rgb//tree256.tiff ..//datasets//text//lorem_70KB.txt 0.0332 62.92 dB 0.9999
..//datasets//rgb//candy256.tiff ..//datasets//text//lorem_70KB.txt 0.4127 51.97 dB 0.9999
..//datasets//rgb//baboon512.tiff ..//datasets//text//lorem_70KB.txt 0.0077 69.25 dB 1.0000
..//datasets//rgb//airplane512.tiff ..//datasets//text//lorem_70KB.txt 0.0296 63.41 dB 1.0000
..//datasets//rgb//peppers512.tiff ..//datasets//text//lorem_70KB.txt 0.1107 57.69 dB 1.0000
..//datasets//rgb//abstract1024.tiff ..//datasets//text//lorem_70KB.txt 0.0247 64.20 dB 1.0000
..//datasets//rgb//irish1024.tiff ..//datasets//text//lorem_70KB.txt 0.0298 63.38 dB 1.0000
..//datasets//rgb//nature1024.tiff ..//datasets//text//lorem_70KB.txt 0.0186 65.44 dB 1.0000
..//datasets//rgb//house256.tiff ..//datasets//text//lorem_80KB.txt 0.2841 53.60 dB 0.9999
..//datasets//rgb//tree256.tiff ..//datasets//text//lorem_80KB.txt 0.2382 54.36 dB 0.9999
..//datasets//rgb//candy256.tiff ..//datasets//text//lorem_80KB.txt 0.3748 52.39 dB 0.9999
..//datasets//rgb//baboon512.tiff ..//datasets//text//lorem_80KB.txt 0.0582 60.48 dB 1.0000
..//datasets//rgb//airplane512.tiff ..//datasets//text//lorem_80KB.txt 0.0599 60.36 dB 1.0000
..//datasets//rgb//peppers512.tiff ..//datasets//text//lorem_80KB.txt 0.0954 58.34 dB 1.0000
..//datasets//rgb//abstract1024.tiff ..//datasets//text//lorem_80KB.txt 0.0343 62.78 dB 1.0000
..//datasets//rgb//irish1024.tiff ..//datasets//text//lorem_80KB.txt 0.0309 63.23 dB 1.0000
..//datasets//rgb//nature1024.tiff ..//datasets//text//lorem_80KB.txt 0.0186 65.45 dB 1.0000
..//datasets//rgb//house256.tiff ..//datasets//text//lorem_90KB.txt 0.2794 53.67 dB 0.9999
..//datasets//rgb//tree256.tiff ..//datasets//text//lorem_90KB.txt 0.1272 57.09 dB 1.0000
..//datasets//rgb//candy256.tiff ..//datasets//text//lorem_90KB.txt 0.3730 52.41 dB 0.9999
..//datasets//rgb//baboon512.tiff ..//datasets//text//lorem_90KB.txt 0.0308 63.24 dB 1.0000
..//datasets//rgb//airplane512.tiff ..//datasets//text//lorem_90KB.txt 0.0426 61.83 dB 1.0000
..//datasets//rgb//peppers512.tiff ..//datasets//text//lorem_90KB.txt 0.0970 58.26 dB 1.0000
..//datasets//rgb//abstract1024.tiff ..//datasets//text//lorem_90KB.txt 0.0289 63.52 dB 1.0000
..//datasets//rgb//irish1024.tiff ..//datasets//text//lorem_90KB.txt 0.0290 63.50 dB 1.0000
..//datasets//rgb//nature1024.tiff ..//datasets//text//lorem_90KB.txt 0.0171 65.80 dB 1.0000
..//datasets//rgb//house256.tiff ..//datasets//text//lorem_100KB.txt 0.2914 53.49 dB 0.9998
..//datasets//rgb//tree256.tiff ..//datasets//text//lorem_100KB.txt 0.2780 53.69 dB 0.9999
..//datasets//rgb//candy256.tiff ..//datasets//text//lorem_100KB.txt 0.3815 52.32 dB 0.9998
..//datasets//rgb//baboon512.tiff ..//datasets//text//lorem_100KB.txt 0.0676 59.83 dB 1.0000
..//datasets//rgb//airplane512.tiff ..//datasets//text//lorem_100KB.txt 0.0663 59.92 dB 1.0000
..//datasets//rgb//peppers512.tiff ..//datasets//text//lorem_100KB.txt 0.0963 58.29 dB 1.0000
..//datasets//rgb//abstract1024.tiff ..//datasets//text//lorem_100KB.txt 0.0362 62.55 dB 1.0000
..//datasets//rgb//irish1024.tiff ..//datasets//text//lorem_100KB.txt 0.0318 63.10 dB 1.0000
..//datasets//rgb//nature1024.tiff ..//datasets//text//lorem_100KB.txt 0.0194 65.26 dB 1.0000
