Image,Text_Size,MSE,PSNR_dB,SSIM
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_70KB.txt,0.0332,62.92,0.9999
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_70KB.txt,0.4127,51.97,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_70KB.txt,0.0077,69.25,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_70KB.txt,0.0296,63.41,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_70KB.txt,0.1107,57.69,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_70KB.txt,0.0247,64.2,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_70KB.txt,0.0298,63.38,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_70KB.txt,0.0186,65.44,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_80KB.txt,0.2841,53.6,0.9999
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_80KB.txt,0.2382,54.36,0.9999
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_80KB.txt,0.3748,52.39,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_80KB.txt,0.0582,60.48,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_80KB.txt,0.0599,60.36,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_80KB.txt,0.0954,58.34,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_80KB.txt,0.0343,62.78,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_80KB.txt,0.0309,63.23,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_80KB.txt,0.0186,65.45,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_90KB.txt,0.2794,53.67,0.9999
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_90KB.txt,0.1272,57.09,1
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_90KB.txt,0.373,52.41,0.9999
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_90KB.txt,0.0308,63.24,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_90KB.txt,0.0426,61.83,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_90KB.txt,0.097,58.26,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_90KB.txt,0.0289,63.52,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_90KB.txt,0.029,63.5,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_90KB.txt,0.0171,65.8,1
..//datasets//rgb//house256.tiff,..//datasets//text//lorem_100KB.txt,0.2914,53.49,0.9998
..//datasets//rgb//tree256.tiff,..//datasets//text//lorem_100KB.txt,0.278,53.69,0.9999
..//datasets//rgb//candy256.tiff,..//datasets//text//lorem_100KB.txt,0.3815,52.32,0.9998
..//datasets//rgb//baboon512.tiff,..//datasets//text//lorem_100KB.txt,0.0676,59.83,1
..//datasets//rgb//airplane512.tiff,..//datasets//text//lorem_100KB.txt,0.0663,59.92,1
..//datasets//rgb//peppers512.tiff,..//datasets//text//lorem_100KB.txt,0.0963,58.29,1
..//datasets//rgb//abstract1024.tiff,..//datasets//text//lorem_100KB.txt,0.0362,62.55,1
..//datasets//rgb//irish1024.tiff,..//datasets//text//lorem_100KB.txt,0.0318,63.1,1
..//datasets//rgb//nature1024.tiff,..//datasets//text//lorem_100KB.txt,0.0194,65.26,1
